#node,groups,status,statustime,appstatus,appstatustime,primarysn,comments,disable
"node1018","farm,all,dell","booting","05-04-2010 13:27:05",,,,,
"node1019","farm,all,dell","booting","05-04-2010 14:27:30",,,,,
"node1020","farm,all,dell","booting","05-04-2010 14:28:02",,,,,
"node350","farm,all,ibm","installing","06-02-2010 12:27:16",,,,,
"node385","farm,all,ibm","booting",,,,,,
"node1021","farm,all,dell","booting","05-04-2010 16:23:23",,,,,
"node1022","farm,all,dell","booting","05-04-2010 14:27:33",,,,,
"node1023","farm,all,dell","booting","05-04-2010 16:23:12",,,,,
"node1024","farm,all,dell","booting","05-04-2010 14:27:52",,,,,
"node1025","farm,all,dell","booting","05-04-2010 14:27:53",,,,,
"node1026","farm,all,dell","booting","05-04-2010 14:27:04",,,,,
"node1027","farm,all,dell","booting","05-04-2010 16:23:24",,,,,
"node1028","farm,all,dell","booting","05-04-2010 14:27:34",,,,,
"node1029","farm,all,dell","booting","05-05-2010 12:45:43",,,,,
"node1030","farm,all,dell","booting","05-04-2010 16:20:43",,,,,
"node1031","farm,all,dell","booting","05-04-2010 16:20:35",,,,,
"node328","farm,all,ibm","booting","05-11-2010 17:29:20",,,,,
"node246","farm,all,ibm",,,,,,,
"node1150","farm,all","booting","05-20-2010 10:38:42",,,,,
"wga7","dell,farm,all","booting",,,,,,
"wga8","dell,farm,all","booting",,,,,,
"wga9","farm,hp,all","booting",,,,,,
"crd2","dell,farm,all","booting",,,,,,
"crd3","dell,farm,all","booting",,,,,,
"ibmdemo","ibm,farm,all","booting",,,,,,
"crd7","farm,hp,all","booting",,,,,,
"crd4","farm,hp,all","booting",,,,,,
"crd1","farm,all","booting",,,,,,
"crd5","hp,all,farm","booting","05-17-2010 11:45:44",,,,,
"crd6","hp,all,farm","booting",,,,,,
"node1384","dell,farm,all","booting",,,,,,
"node1386","dell,farm,all","booting",,,,,,
"node1388","dell,farm,all","booting",,,,,,
"node1390","dell,farm,all","booting",,,,,,
"node1391","dell,farm,all","booting",,,,,,
"node1392","dell,farm,all","booting",,,,,,
"node1394","dell,farm,all","booting",,,,,,
"node1397","dell,farm,all","booting",,,,,,
"node1399","dell,farm,all","booting",,,,,,
"node1389","dell,farm,all","booting",,,,,,
"node1398","dell,farm,all","booting",,,,,,
"node1385","dell,farm,all","booting",,,,,,
"node1387","dell,farm,all","booting",,,,,,
"node1395","dell,farm,all","booting",,,,,,
"crd8","hp,farm,all","booting",,,,,,
"thorium","dell,db,all","booting","05-13-2010 14:35:54",,,,,
"node1368","dell,farm,all","booting",,,,,,
"node1369","dell,farm,all","booting",,,,,,
"node1370","dell,farm,all","booting",,,,,,
"node1371","dell,farm,all","booting",,,,,,
"node1373","dell,farm,all","booting",,,,,,
"node1374","dell,farm,all","booting",,,,,,
"node1375","dell,farm,all","booting",,,,,,
"node1376","dell,farm,all","booting",,,,,,
"node1377","dell,farm,all","booting","06-16-2010 11:16:54",,,,,
"node1378","dell,farm,all","booting","06-16-2010 11:00:06",,,,,
"node1379","dell,farm,all","booting",,,,,,
"node1380","dell,farm,all","booting",,,,,,
"node1381","dell,farm,all","booting","06-16-2010 11:54:24",,,,,
"node1383","dell,farm,all","booting",,,,,,
"node1396","dell,farm,all","booting",,,,,,
"node1382","dell,farm,all","booting",,,,,,
"node1393","dell,farm,all","booting",,,,,,
"proteus","dell,farm,all","booting","06-05-2010 05:02:53",,,,,
"node1372","dell,farm,all","booting",,,,,,
"node1016","dell,farm,all","booting","05-04-2010 17:48:57",,,,,
"node1017","dell,farm,all","booting","05-04-2010 17:11:44",,,,,
"germanium","dell,db,all","booting","05-13-2010 11:22:28",,,,,
"scandium","dell,db,all","booting","05-13-2010 14:39:37",,,,,
"roquefort","dell,farm,all","booting","05-17-2010 16:06:27",,,,,
"node1149","dell,farm,all","booting","05-19-2010 18:14:10",,,,,
"node1144","dell,farm,all","booting","05-19-2010 16:22:16",,,,,
"node1145","dell,farm,all","booting","05-19-2010 15:42:40",,,,,
"node1147","dell,farm,all","booting","05-19-2010 17:00:11",,,,,
