#node,currstate,currchain,chain,ondiscover,comments,disable
"all",,,"runcmd=standby","nodediscover",,
"node246","boot","boot","runcmd=standby",,,
"node1223","boot","boot","runcmd=standby",,,
"barium","boot","boot","runcmd=standby",,,
"bariumphys","boot","boot","runcmd=standby",,,
"node1018","boot","boot","runcmd=standby",,,
"node1019","boot","boot","runcmd=standby",,,
"node1020","boot","boot","runcmd=standby",,,
"node350","install centos5.4-x86_64-broad.farm.centos5","boot","runcmd=standby",,,
"node385","boot","boot","runcmd=standby",,,
"node1021","boot","boot","runcmd=standby",,,
"node1022","boot","boot","runcmd=standby",,,
"node1023","boot","boot","runcmd=standby",,,
"node1024","boot","boot","runcmd=standby",,,
"node1025","boot","boot","runcmd=standby",,,
"node1026","boot","boot","runcmd=standby",,,
"node1027","boot","boot","runcmd=standby",,,
"node1028","boot","boot","runcmd=standby",,,
"node1029","boot","boot","runcmd=standby",,,
"node1030","boot","boot","runcmd=standby",,,
"node1031","boot","boot","runcmd=standby",,,
"node328","boot","boot","runcmd=standby",,,
"oel_test","boot","boot","runcmd=standby",,,
"node1150","boot","boot","runcmd=standby",,,
"wga7","boot","boot","runcmd=standby",,,
"wga8","boot","boot","runcmd=standby",,,
"wga9","boot","boot","runcmd=standby",,,
"crd2","boot","boot","runcmd=standby",,,
"crd3","boot","boot","runcmd=standby",,,
"ibmdemo","boot","boot","runcmd=standby",,,
"crd7","boot","boot","runcmd=standby",,,
"crd4","boot","boot","runcmd=standby",,,
"crd1","boot","boot","runcmd=standby",,,
"crd5","boot","boot","runcmd=standby",,,
"crd6","boot","boot","runcmd=standby",,,
"node1384","boot","boot","runcmd=standby",,,
"node1386","boot","boot","runcmd=standby",,,
"node1388","boot","boot","runcmd=standby",,,
"node1390","boot","boot","runcmd=standby",,,
"node1391","boot","boot","runcmd=standby",,,
"node1392","boot","boot","runcmd=standby",,,
"node1394","boot","boot","runcmd=standby",,,
"node1397","boot","boot","runcmd=standby",,,
"node1399","boot","boot","runcmd=standby",,,
"node1389","boot","boot","runcmd=standby",,,
"node1398","boot","boot","runcmd=standby",,,
"node1385","boot","boot","runcmd=standby",,,
"crd8","boot","boot","runcmd=standby",,,
"thorium","boot","boot","runcmd=standby",,,
"node1387","boot","boot","runcmd=standby",,,
"node1395","boot","boot","runcmd=standby",,,
"node1368","boot","boot","runcmd=standby",,,
"node1369","boot","boot","runcmd=standby",,,
"node1370","boot","boot","runcmd=standby",,,
"node1371","boot","boot","runcmd=standby",,,
"node1373","boot","boot","runcmd=standby",,,
"node1374","boot","boot","runcmd=standby",,,
"node1375","boot","boot","runcmd=standby",,,
"node1376","boot","boot","runcmd=standby",,,
"node1377","boot","boot","runcmd=standby",,,
"node1378","boot","boot","runcmd=standby",,,
"node1379","boot","boot","runcmd=standby",,,
"node1380","boot","boot","runcmd=standby",,,
"node1381","boot","boot","runcmd=standby",,,
"node1383","boot","boot","runcmd=standby",,,
"node1396","boot","boot","runcmd=standby",,,
"node1382","boot","boot","runcmd=standby",,,
"node1393","boot","boot","runcmd=standby",,,
"proteus","boot","boot","runcmd=standby",,,
"node1372","boot","boot","runcmd=standby",,,
"node1016","boot","boot","runcmd=standby",,,
"node1017","boot","boot","runcmd=standby",,,
"germanium","boot","boot","runcmd=standby",,,
"scandium","boot","boot","runcmd=standby",,,
"roquefort","boot","boot","runcmd=standby",,,
"node1149","boot","boot","runcmd=standby",,,
"node1144","boot","boot","runcmd=standby",,,
"node1145","boot","boot","runcmd=standby",,,
"node1147","boot","boot","runcmd=standby",,,
"node1148","boot","boot","runcmd=standby",,,
"node1152","boot","boot","runcmd=standby",,,
"node1153","boot","boot","runcmd=standby",,,
"node1157","boot","boot","runcmd=standby",,,
"node1155","boot","boot","runcmd=standby",,,
"node1158","boot","boot","runcmd=standby",,,
"node1146","boot","boot","runcmd=standby",,,
"node1154","boot","boot","runcmd=standby",,,
"node1156","boot","boot","runcmd=standby",,,
"node1159","boot","boot","runcmd=standby",,,
"node1128","boot","boot","runcmd=standby",,,
"node1129","boot","boot","runcmd=standby",,,
"node1130","boot","boot","runcmd=standby",,,
"node1131","boot","boot","runcmd=standby",,,
"node1132","boot","boot","runcmd=standby",,,
"node1133","boot","boot","runcmd=standby",,,
"node1134","boot","boot","runcmd=standby",,,
"node1135","boot","boot","runcmd=standby",,,
"node1136","boot","boot","runcmd=standby",,,
"node1137","boot","boot","runcmd=standby",,,
"node1138","boot","boot","runcmd=standby",,,
"node1139","boot","boot","runcmd=standby",,,
"node1140","boot","boot","runcmd=standby",,,
"node1141","boot","boot","runcmd=standby",,,
"node1142","boot","boot","runcmd=standby",,,
"node1143","boot","boot","runcmd=standby",,,
"node144","boot","boot","runcmd=standby",,,
"node142","boot","boot","runcmd=standby",,,
"node143","boot","boot","runcmd=standby",,,
"node145","boot","boot","runcmd=standby",,,
"node146","boot","boot","runcmd=standby",,,
"node147","boot","boot","runcmd=standby",,,
"node149","boot","boot","runcmd=standby",,,
